,playlist_name,track_id,track_name,track_popularity,danceability,energy,speechiness,acousticness,instrumentalness,liveness,valence,loudness,tempo,duration_ms,time_signature,id,artist,album
0,New Music Friday,2rmwqU7yzTvzkiaRV53DpT,2 Be Loved (Am I Ready),0,0.721,0.769,0.105,0.0922,0.0,0.0817,0.915,-4.111,155.932,187108,4,2rmwqU7yzTvzkiaRV53DpT,Lizzo,Special
1,New Music Friday,5lfWrciYtohtIMVDVZd0Rf,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)",0,0.81,0.733,0.0444,0.276,6.73e-06,0.288,0.9,-6.338,125.975,229283,4,5lfWrciYtohtIMVDVZd0Rf,Calvin Harris,"Stay With Me (with Justin Timberlake, Halsey, & Pharrell)"
2,New Music Friday,0mRbKcvmbbUtfFyfeFHCJa,Sunshine (feat. Fousheé),61,0.695,0.69,0.0233,0.0328,0.697,0.113,0.741,-5.805,92.977,293427,4,0mRbKcvmbbUtfFyfeFHCJa,Steve Lacy,Sunshine (feat. Fousheé)
3,New Music Friday,12UQIJePnGeLmpVReYpG2w,Sunny day,0,0.751,0.595,0.0274,0.209,0.00268,0.0881,0.713,-6.422,92.999,160493,4,12UQIJePnGeLmpVReYpG2w,beabadoobee,Beatopia
4,New Music Friday,5Oz15cyQP3TMDDXKWm4tYH,Irrelevant,29,0.672,0.799,0.0973,0.0244,3.18e-05,0.0945,0.287,-3.664,144.011,232385,4,5Oz15cyQP3TMDDXKWm4tYH,P!nk,Irrelevant
5,New Music Friday,252G7yirQ4pXj6ZD4T9R2W,"Mona Lisa, Mona Lisa",0,0.742,0.538,0.0447,0.0335,0.0139,0.603,0.67,-6.83,125.039,172112,4,252G7yirQ4pXj6ZD4T9R2W,FINNEAS,"Mona Lisa, Mona Lisa"
6,New Music Friday,5CTQCPv51aLWpwTbqo8mEL,Bandana,29,0.818,0.605,0.038,0.293,0.0116,0.0696,0.366,-7.121,104.931,178225,4,5CTQCPv51aLWpwTbqo8mEL,Fireboy DML,Bandana
7,New Music Friday,7lBNPNIewZf6d1DJjRtlj8,Still,0,0.802,0.567,0.189,0.374,0.1,0.133,0.31,-11.48,95.026,247000,4,7lBNPNIewZf6d1DJjRtlj8,Lil Silva,Yesterday Is Heavy
8,New Music Friday,63u4taM8CTklMQhrcV3via,"Gangsta Art (Yo Gotti, Moneybagg Yo feat. 42 Dugg, EST Gee, Mozzy, Lehla Samia, Blac Youngsta)",0,0.494,0.721,0.432,0.144,0.0,0.159,0.275,-6.885,150.085,298411,4,63u4taM8CTklMQhrcV3via,Yo Gotti,Gangsta Art
9,New Music Friday,7ycQto0UwGtuugO5ztmpdO,PUSSY,0,0.587,0.848,0.346,0.0364,0.0,0.246,0.673,-4.385,169.65,141176,4,7ycQto0UwGtuugO5ztmpdO,Latto,PUSSY
10,New Music Friday,5zuT7tF518cJcoOJI9VzDM,SUBSTANCE,0,0.44,0.955,0.186,0.000186,0.0,0.192,0.554,-3.096,84.848,160441,4,5zuT7tF518cJcoOJI9VzDM,Demi Lovato,SUBSTANCE
11,New Music Friday,32FhTAAjKZaBein150o3Px,because i liked a boy,0,0.384,0.593,0.344,0.401,0.0,0.189,0.169,-7.309,146.603,196458,4,32FhTAAjKZaBein150o3Px,Sabrina Carpenter,emails i can't send
12,New Music Friday,66sgJDWffGSEw3huWPjNWA,Cannibal,0,0.442,0.2,0.0627,0.171,0.0156,0.133,0.526,-12.085,137.184,241667,4,66sgJDWffGSEw3huWPjNWA,Marcus Mumford,Cannibal
13,New Music Friday,0TZaULNHuHvwyZOivhzc7g,Archetype,0,0.676,0.338,0.0284,0.372,5.57e-06,0.468,0.321,-7.96,92.029,168829,4,0TZaULNHuHvwyZOivhzc7g,Omar Apollo,Archetype
14,New Music Friday,7klycPYjcy8FSQcIZTAVNy,Zipcodes,0,0.411,0.699,0.378,0.161,0.0,0.235,0.457,-6.644,75.176,267173,1,7klycPYjcy8FSQcIZTAVNy,Joey Bada$$,Zipcodes
15,New Music Friday,2LBnpm1lEMkzD45ZGLmrQd,BLENDER,57,0.67,0.665,0.104,0.0293,2.19e-05,0.101,0.694,-5.47,161.99,147744,4,2LBnpm1lEMkzD45ZGLmrQd,5 Seconds of Summer,BLENDER
16,New Music Friday,0syI1uKOPmjaRAdnpC1LUr,LOVE IS A COWBOY,0,0.533,0.434,0.0277,0.674,0.0,0.0776,0.226,-7.469,95.938,163532,4,0syI1uKOPmjaRAdnpC1LUr,Kelsea Ballerini,LOVE IS A COWBOY
17,New Music Friday,6GRKAd64XPuij4RWeSUhSX,Horses,0,0.614,0.617,0.0295,0.641,0.000178,0.0648,0.15,-4.23,105.933,305000,4,6GRKAd64XPuij4RWeSUhSX,Maggie Rogers,Horses
18,New Music Friday,3nwd2gUT7l10HDUAOKXrhs,Easy Lover (feat. Big Sean),0,0.673,0.816,0.0524,0.00807,0.0,0.0855,0.427,-3.865,105.972,215938,4,3nwd2gUT7l10HDUAOKXrhs,Ellie Goulding,Easy Lover (feat. Big Sean)
19,New Music Friday,3WBRfkOozHEsG0hbrBzwlm,Everything Goes On,0,0.55,0.648,0.0309,0.0191,0.0,0.0999,0.323,-6.542,156.957,202821,4,3WBRfkOozHEsG0hbrBzwlm,Porter Robinson,Everything Goes On
20,New Music Friday,2QWEMqQMJR1KDf6hDjJOs6,Arson,0,0.938,0.798,0.103,0.00813,7.03e-05,0.146,0.265,-3.998,99.992,159762,4,2QWEMqQMJR1KDf6hDjJOs6,j-hope,Jack In The Box
21,New Music Friday,5auKzb2kuqO3lTcoybxVJI,No Remorse,21,0.685,0.558,0.109,0.819,0.000127,0.108,0.691,-5.192,140.884,149865,4,5auKzb2kuqO3lTcoybxVJI,Sheff G,From The Can
22,New Music Friday,65v99AWZyNz3aRmfrT2I7N,i'm a mess,0,0.682,0.633,0.239,0.307,0.0328,0.112,0.601,-6.213,123.259,153946,5,65v99AWZyNz3aRmfrT2I7N,Omah Lay,Boy Alone
23,New Music Friday,57BvpyURy7xPYKgbPRaynf,Alright,0,0.37,0.865,0.0367,0.000131,3.92e-05,0.324,0.414,-3.594,163.883,264987,4,57BvpyURy7xPYKgbPRaynf,Sam Fender,Alright
24,New Music Friday,0tFUl3tPqBzUM2aV0gitdq,Dolls,0,0.841,0.698,0.261,0.211,0.0,0.203,0.372,-6.588,118.018,132793,4,0tFUl3tPqBzUM2aV0gitdq,Bella Poarch,Dolls
25,New Music Friday,58sa3HUZL71gpMB6XvhaUo,Light Of Day (feat. Ólafur Arnalds),46,0.419,0.635,0.0441,0.392,0.592,0.44,0.0375,-5.911,107.878,400130,4,58sa3HUZL71gpMB6XvhaUo,ODESZA,Light Of Day (feat. Ólafur Arnalds)
26,New Music Friday,4qsrQnTtzIdmTOXFobkkE9,LOL,0,0.575,0.685,0.238,0.047,0.0,0.131,0.566,-4.102,100.093,212987,4,4qsrQnTtzIdmTOXFobkkE9,Mabel,About Last Night...
27,New Music Friday,0TKw4XKCDwVlDK1DM7gUUg,Girl Of Your Dreams,35,0.585,0.746,0.089,0.0181,1.77e-06,0.0947,0.793,-5.309,165.096,163928,4,0TKw4XKCDwVlDK1DM7gUUg,Dylan,Girl Of Your Dreams
28,New Music Friday,10jL8CyereIW7EhM0pzsSD,If We Were A Party,0,0.481,0.776,0.0443,0.0237,0.0,0.106,0.59,-5.828,182.063,215175,4,10jL8CyereIW7EhM0pzsSD,Alexander 23,Aftershock
29,New Music Friday,3rMbh1zLsh91EcNgu7KuPy,One Day Less,0,0.446,0.287,0.0533,0.899,0.0,0.102,0.252,-9.367,176.829,207035,3,3rMbh1zLsh91EcNgu7KuPy,Anson Seabra,One Day Less
30,New Music Friday,2mZhWoguUqZTivAnSmlBUE,Placeholder,0,0.678,0.696,0.0336,0.0346,0.0,0.374,0.421,-4.361,82.489,159818,4,2mZhWoguUqZTivAnSmlBUE,Oliver Tree,Placeholder
31,New Music Friday,76F7T5zPxdpcPndQNs2dQU,Hello Mate,0,0.713,0.886,0.271,0.0746,0.0,0.215,0.747,-4.451,140.054,192857,4,76F7T5zPxdpcPndQNs2dQU,ArrDee,Hello Mate
32,New Music Friday,0lqgo6rIBS0nVsvppZC3Ay,Loop,0,0.697,0.723,0.042,0.0642,0.00907,0.159,0.371,-6.288,125.043,190560,4,0lqgo6rIBS0nVsvppZC3Ay,Martin Garrix,Loop
33,New Music Friday,7grzdNt3eQRiBC70GksRp1,Worlds On Fire (with R3HAB & Au/Ra),0,0.621,0.756,0.114,0.0752,1.17e-06,0.65,0.265,-5.623,124.039,174194,4,7grzdNt3eQRiBC70GksRp1,Afrojack,Worlds On Fire (with R3HAB & Au/Ra)
34,New Music Friday,5tjST4iUvp86eyMeSIgy5l,Handle Me Gently,0,0.594,0.733,0.0515,0.0904,0.0,0.132,0.269,-5.301,88.032,181039,4,5tjST4iUvp86eyMeSIgy5l,Ne-Yo,Self Explanatory
35,New Music Friday,0Ls2AaWYmU2LRzWAmFdlkc,Deep End (feat. Lil Skies),0,0.911,0.443,0.157,0.141,0.0,0.0964,0.859,-7.952,103.999,131538,4,0Ls2AaWYmU2LRzWAmFdlkc,Bankrol Hayden,Deep End (feat. Lil Skies)
36,New Music Friday,4VEw8rQd6cf21tRR8b8xSO,Ain't Loyal,0,0.675,0.524,0.147,0.594,0.0,0.0865,0.568,-8.121,149.366,154816,4,4VEw8rQd6cf21tRR8b8xSO,Melii,Medusa
37,New Music Friday,4mIHBM6Ozh1gBITjA6EZ47,didn't I,0,0.414,0.633,0.0706,0.115,0.0143,0.153,0.539,-8.529,82.318,107784,4,4mIHBM6Ozh1gBITjA6EZ47,Lou Val,didn't I
38,New Music Friday,5eGIOMy0V0r7neaaPve2kB,Grocery Store,0,0.577,0.555,0.0352,0.583,6.59e-05,0.105,0.437,-8.228,132.336,134957,4,5eGIOMy0V0r7neaaPve2kB,Cavetown,Grocery Store
39,New Music Friday,46FwyEmZaPPzUViyEvloXo,No Time (For My Life To Suck),28,0.676,0.448,0.0483,0.503,1.64e-05,0.118,0.567,-9.316,145.995,153093,4,46FwyEmZaPPzUViyEvloXo,Nina Nesbitt,No Time (For My Life To Suck)
40,New Music Friday,6GD1eomgaGT1Epto6Q5eAo,golden hour,0,0.511,0.594,0.0316,0.651,0.177,0.249,0.143,-4.799,94.473,209260,3,6GD1eomgaGT1Epto6Q5eAo,JVKE,golden hour
41,New Music Friday,2CXEL46i2dMqQrcDtXl6jS,Nadie Sabe,35,0.64,0.369,0.0336,0.561,0.0,0.153,0.616,-5.491,120.048,152875,4,2CXEL46i2dMqQrcDtXl6jS,Yahritza Y Su Esencia,Obsessed (Deluxe)
42,New Music Friday,1jcBUsiQik3PxgtGG0tfnb,No Face,29,0.906,0.738,0.289,0.295,4.96e-05,0.0564,0.617,-6.458,149.991,189524,4,1jcBUsiQik3PxgtGG0tfnb,Flo Milli,No Face
43,New Music Friday,46cBzfiGyZetFFC9P9LATk,Settled (feat. Russ),0,0.71,0.768,0.0653,0.0879,0.0,0.122,0.347,-5.849,91.933,221773,4,46cBzfiGyZetFFC9P9LATk,Rexx Life Raj,The Blue Hour
44,New Music Friday,1KHCFA1Wb1MYQi4WQIYqrm,Y'all Life,0,0.607,0.757,0.0601,0.0107,0.0,0.158,0.662,-6.778,164.096,192053,4,1KHCFA1Wb1MYQi4WQIYqrm,Walker Hayes,Y'all Life
45,New Music Friday,50Emgupm363qIrYBe20FR3,Quittin' Time,0,0.557,0.725,0.0388,0.215,9.21e-06,0.217,0.54,-5.79,143.34,220885,4,50Emgupm363qIrYBe20FR3,Zach Bryan,Summertime Blues
46,New Music Friday,7156NTCsRSyw7A2si4sm5e,Step On Flowers,0,0.607,0.404,0.0451,0.778,1.49e-05,0.108,0.33,-7.755,156.206,213214,4,7156NTCsRSyw7A2si4sm5e,Madeline The Person,CHAPTER 3: The Burning
47,New Music Friday,5stVamqETg34UDrpC5Zwhy,HEAD,0,0.664,0.817,0.0353,0.0419,1.01e-05,0.403,0.461,-2.263,104.099,111653,4,5stVamqETg34UDrpC5Zwhy,Devon Again,HEAD
48,New Music Friday,2aKdhAWm1SX4B7KY5QuGB6,Open Arms,0,0.618,0.612,0.292,0.629,0.0,0.112,0.304,-6.072,48.342,164159,4,2aKdhAWm1SX4B7KY5QuGB6,Mozzy,Open Arms
49,New Music Friday,1md6otYHFdOp8itdRp4r2h,Bad Bad,0,0.541,0.545,0.0677,0.118,0.0,0.189,0.0968,-7.859,175.068,219564,4,1md6otYHFdOp8itdRp4r2h,Roy Woods,Bad Bad
50,New Music Friday,22WIWb0LrxTncQ445Td0KF,Hoochie Daddy,0,0.672,0.899,0.382,0.104,0.0,0.364,0.647,-7.905,156.983,149800,4,22WIWb0LrxTncQ445Td0KF,Bobby Shmurda,Hoochie Daddy
51,New Music Friday,1CbRf2PzsxscJKbzlngTyr,get yo bread,15,0.804,0.429,0.167,0.736,0.000478,0.13,0.337,-7.161,146.948,224907,4,1CbRf2PzsxscJKbzlngTyr,SEB,get yo bread
52,New Music Friday,51mycpP5uFInLw300nestX,Miracle Maker (feat. Clementine Douglas),0,0.609,0.94,0.0601,0.00129,0.278,0.15,0.242,-6.097,127.988,188592,4,51mycpP5uFInLw300nestX,Dom Dolla,Miracle Maker (feat. Clementine Douglas)
53,New Music Friday,1lXyxleB814ehGUXzsWNXu,One More Time,0,0.579,0.761,0.0509,0.1,0.00176,0.279,0.287,-5.547,126.165,148095,4,1lXyxleB814ehGUXzsWNXu,Armin van Buuren,One More Time
54,New Music Friday,2WoluqyWzsgRmFCeHeGlnm,SNEAKERS,0,0.935,0.849,0.0779,0.0192,0.0,0.0223,0.551,-3.047,119.986,179453,4,2WoluqyWzsgRmFCeHeGlnm,ITZY,CHECKMATE
55,New Music Friday,30vTm2hDiU321Tlv1sAI9g,Fly Away (feat. French Montana),0,0.764,0.617,0.122,0.00565,0.0,0.085,0.559,-5.643,102.979,172849,4,30vTm2hDiU321Tlv1sAI9g,Wes Nelson,Fly Away (feat. French Montana)
56,New Music Friday,3c1sfDYFzlTGTnyVjUZNl1,Private Valet,0,0.627,0.726,0.17,0.2,0.000446,0.293,0.617,-6.314,81.003,149074,4,3c1sfDYFzlTGTnyVjUZNl1,Larry June,Private Valet
57,New Music Friday,37cm2tI4XZvRc3fzmdFcze,Toni,32,0.67,0.68,0.0281,0.0158,0.678,0.0725,0.624,-8.004,117.008,274613,4,37cm2tI4XZvRc3fzmdFcze,Interpol,Gran Hotel
58,New Music Friday,3uKLuVqBd0bIUfFDdn68lI,Here to Forever,38,0.62,0.773,0.0382,0.0741,0.000606,0.158,0.934,-8.324,157.991,226320,4,3uKLuVqBd0bIUfFDdn68lI,Death Cab for Cutie,Here to Forever
59,New Music Friday,6NrBfYq03RzmwIaBPIEmOt,Solar System,0,0.53,0.787,0.0442,0.0163,0.00316,0.847,0.274,-5.785,87.374,212763,4,6NrBfYq03RzmwIaBPIEmOt,Superorganism,World Wide Pop
60,New Music Friday,23CMRsLRGVCDwCzDtYMq6p,Mentally Cheating,0,0.645,0.411,0.0834,0.168,0.0,0.194,0.267,-8.404,78.553,180120,4,23CMRsLRGVCDwCzDtYMq6p,Natalie Jane,Mentally Cheating
61,New Music Friday,57lBDEtlUhzU18Co0DToLg,Hangover,27,0.542,0.543,0.0347,0.66,0.0,0.114,0.332,-6.786,125.001,215493,4,57lBDEtlUhzU18Co0DToLg,Madi Diaz,Hangover
62,New Music Friday,49m65vl51EzevQwPjlFHNd,Lion's Den,0,0.41,0.473,0.143,0.0503,0.0,0.0785,0.0608,-7.595,175.995,196364,4,49m65vl51EzevQwPjlFHNd,Grace VanderWaal,Lion's Den
63,New Music Friday,0tZA4mQgeSJjRyjsU6Sujw,Message (Better Days),0,0.635,0.606,0.0999,0.261,0.00155,0.138,0.857,-7.01,179.887,214505,4,0tZA4mQgeSJjRyjsU6Sujw,PawPaw Rod,Message (Better Days)
64,New Music Friday,00Yl3EpC4Po5P0dm2b1Zfp,¿Y Todo Para Que?,0,0.668,0.654,0.0472,0.111,0.0,0.174,0.596,-6.656,151.995,207000,4,00Yl3EpC4Po5P0dm2b1Zfp,T3R Elemento,La Divinidad Femenina
65,New Music Friday,6lTwy0Ri81LRujvv5mEHTg,Love is...,0,0.475,0.416,0.59,0.208,0.0,0.135,0.0921,-10.725,76.094,230017,1,6lTwy0Ri81LRujvv5mEHTg,Toosii,Love is…
66,New Music Friday,7uVNWO2CAqAnGWDm9ipczc,DO NOT KNOW YOU,26,0.851,0.562,0.125,0.129,0.696,0.139,0.437,-7.975,159.958,120053,4,7uVNWO2CAqAnGWDm9ipczc,lil Shordie Scott,DO NOT KNOW YOU
67,New Music Friday,75xEZnNXRr4G2kZ15fREXo,Crash Course (feat. Biig Piig),0,0.783,0.825,0.0315,0.00283,0.0268,0.38,0.976,-4.57,124.972,167328,4,75xEZnNXRr4G2kZ15fREXo,Blu DeTiger,Crash Course (feat. Biig Piig)
68,New Music Friday,6OtoDwuQaH8SfZobDMsWD5,TVI,0,0.286,0.945,0.0518,0.00243,1.97e-06,0.0997,0.62,-4.309,184.301,161200,4,6OtoDwuQaH8SfZobDMsWD5,Surf Curse,TVI
69,New Music Friday,2qbKL3HbAu4H7YkJvCCqAz,American Bollywood,0,0.406,0.643,0.0387,0.0868,0.0108,0.217,0.0904,-7.802,148.049,284244,4,2qbKL3HbAu4H7YkJvCCqAz,Young the Giant,ACT I: ORIGINS
70,New Music Friday,1b7g70Su9yEnnfIetjAYWL,blue,0,0.387,0.0565,0.0387,0.96,2.95e-06,0.111,0.108,-14.617,159.53,213767,5,1b7g70Su9yEnnfIetjAYWL,Christina Perri,a lighter shade of blue
71,New Music Friday,6gbk2Uxer4YJ1uJ9TKt9EI,Love Me Back,0,0.475,0.221,0.0372,0.874,0.000845,0.316,0.355,-14.53,152.377,148067,4,6gbk2Uxer4YJ1uJ9TKt9EI,Bebe Stockwell,Love Me Back
72,New Music Friday,6GkzW1afOfnnNGhEMrA5ct,I WANT YOU BUT YOU'LL NEVER KNOW...,41,0.647,0.623,0.0597,0.311,4.02e-06,0.158,0.543,-7.602,94.501,230681,4,6GkzW1afOfnnNGhEMrA5ct,Rory,I WANT YOU BUT YOU'LL NEVER KNOW...
73,New Music Friday,5sSiwYy1FPH8pJVzbD1B5K,FOOTBALL HEADS (feat. Benny The Butcher),0,0.652,0.444,0.39,0.104,0.0,0.113,0.433,-9.173,73.04,190685,4,5sSiwYy1FPH8pJVzbD1B5K,Maxo Kream,FOOTBALL HEADS (feat. Benny The Butcher)
74,New Music Friday,6VfcKtGAyKfBsNRZIlaxSj,Heartbreaker,0,0.624,0.212,0.047,0.858,0.0,0.0876,0.708,-11.724,147.643,147629,4,6VfcKtGAyKfBsNRZIlaxSj,DaniLeigh,Heartbreaker
75,New Music Friday,0a2giOzEw6DnH2V9bt3GP3,Ácido Sabor,32,0.729,0.666,0.0698,0.237,3.82e-05,0.289,0.337,-4.167,90.024,210914,4,0a2giOzEw6DnH2V9bt3GP3,Ricky Martin,Ácido Sabor
76,New Music Friday,5uM8bC7dVn5v59zwQybe9d,Stick Around,0,0.799,0.659,0.0599,0.259,0.01,0.184,0.7,-6.697,105.016,139279,4,5uM8bC7dVn5v59zwQybe9d,ABISHA,Everything Falls Into Place
77,New Music Friday,50p95vsF3KsQ1Yp4tt6Qkf,Geronimo,39,0.408,0.493,0.0338,0.0244,0.161,0.144,0.13,-8.93,175.88,213672,4,50p95vsF3KsQ1Yp4tt6Qkf,Young Fathers,Geronimo
78,New Music Friday,2obd4xYbCzz5mj6PMED9RR,Be Mine,51,0.52,0.637,0.0362,0.0172,2.31e-05,0.256,0.879,-6.882,166.044,164708,4,2obd4xYbCzz5mj6PMED9RR,boy pablo,Be Mine
79,New Music Friday,7GkVUzfruToUahCBk8GW0r,Golden Child,0,0.733,0.485,0.0485,0.193,3.01e-06,0.152,0.352,-8.96,137.907,172215,4,7GkVUzfruToUahCBk8GW0r,Paravi,Golden Child
80,New Music Friday,0bMuCogMMHhNSq4fd3z1gA,That Girl,37,0.695,0.55,0.0895,0.00509,0.0,0.376,0.731,-5.929,94.958,140427,4,0bMuCogMMHhNSq4fd3z1gA,Emei,That Girl
81,New Music Friday,4WUSVvoafrgVgsF9D2urJ0,Hey You,0,0.5,0.982,0.0727,4.72e-05,4.28e-05,0.0447,0.507,-3.496,103.033,268482,4,4WUSVvoafrgVgsF9D2urJ0,Disturbed,Hey You
82,New Music Friday,2qHdVNExsj55FceFa5S2H9,BABA,0,0.871,0.806,0.25,0.196,0.0,0.172,0.579,-5.197,140.062,192023,4,2qHdVNExsj55FceFa5S2H9,Omeretta the Great,BABA
83,New Music Friday,1HVVrtjLvEQx8oinUYI5Nv,New York (feat. A Boogie Wit Da Hoodie & Jadakiss),0,0.465,0.546,0.295,0.077,0.0,0.314,0.186,-8.749,97.886,235200,4,1HVVrtjLvEQx8oinUYI5Nv,Rowdy Rebel,Rebel vs. Rowdy
84,New Music Friday,34rwJDeFgvZXd9KtiBkQKI,Beat Breaks (feat. Nas),0,0.557,0.845,0.344,0.496,0.0,0.115,0.867,-4.373,93.374,159155,4,34rwJDeFgvZXd9KtiBkQKI,DJ Premier,"Hip Hop 50, Vol. 1"
